id,book name,author,rating,reviews count,price,reading age,print length,publishing date,genre,log_reviews,year,month,publishing_date,year_published,month_published,quarter_published,days_since_published,is_recent,author_avg_reviews,author_median_reviews,author_book_count,author_reviews_std,author_avg_rating,genre_avg_reviews,genre_median_reviews,genre_book_count,price_per_page,is_expensive,rating_normalized,high_rating,rating_price_interaction,author_genre_popularity,format_Board book,format_Cards,format_Hardcover,format_Paperback,price_cat_Budget,price_cat_Standard,price_cat_Premium,price_cat_Luxury
16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6,270507,6.91,,400.0,2018-05-29,Fiction & Action & Adventure,12.508056951692714,2018.0,5.0,2018-05-29,2018.0,5.0,2.0,2862.0,0,183111.0,183111.0,2,123596.61,4.5,199796.88,165631.0,33,0.017275,0,0.6249999999999994,1,31.785999999999998,36585006493.68,False,False,False,True,True,False,False,False
17,The Creative Act: A Way of Being,Rick Rubin,4.7,10805,16.99,,432.0,2023-01-17,Health & Fitness & Dieting,9.28785681440401,2023.0,1.0,2023-01-17,2023.0,1.0,1.0,1168.0,0,10805.0,10805.0,1,,4.7,26316.33,15375.5,6,0.0393287037037037,1,0.75,1,79.853,284347945.65000004,False,False,True,False,False,False,True,False
18,Taylor Swift: A Little Golden Book Biography,"Wendy Loggia, Elisa Chavarri",4.9,9344,4.35,5 years and up,24.0,2023-05-02,Arts & Music & Photography,9.142596719889664,2023.0,5.0,2023-05-02,2023.0,5.0,2.0,1063.0,0,9344.0,9344.0,1,,4.9,16535.0,9344.0,3,0.18125,0,1.0,1,21.315,154503040.0,False,False,True,False,True,False,False,False
19,The Four Agreements: A Practical Guide to Personal Freedom,"Janet Mills, Don Miguel Ruiz",4.7,119661,7.05,,160.0,1997-11-07,Self-Improvement,11.69242638082741,1997.0,11.0,1997-11-07,1997.0,11.0,4.0,10370.0,0,119661.0,119661.0,1,,4.7,94997.38,107107.5,8,0.0440625,0,0.75,1,33.135,11367481488.18,False,False,False,True,True,False,False,False
20,Demon Copperhead: A Novel,Barbara Kingsolver,4.6,146667,17.1,,560.0,2022-10-18,Fiction & Action & Adventure,11.895926808094103,2022.0,10.0,2022-10-18,2022.0,10.0,4.0,1259.0,0,146667.0,146667.0,1,,4.6,199796.88,165631.0,33,0.030535714285714288,1,0.6249999999999994,1,78.66,29303608998.96,False,False,True,False,False,False,True,False
21,A Court of Thorns and Roses,Sarah J. Maas,4.6,314472,12.8,,448.0,2020-06-02,Fiction & Action & Adventure,12.658653500880824,2020.0,6.0,2020-06-02,2020.0,6.0,2.0,2127.0,0,221068.4,269981.0,5,106715.92,4.62,199796.88,165631.0,33,0.028571428571428574,1,0.6249999999999994,1,58.879999999999995,44168776586.592,False,False,False,True,False,True,False,False
22,Interesting Facts For Curious Minds,Jordan Moore,4.6,15400,10.41,,196.0,2022-07-18,Puzzles & Games,9.642187721358466,2022.0,7.0,2022-07-18,2022.0,7.0,3.0,1351.0,0,15400.0,15400.0,1,,4.6,15400.0,15400.0,1,0.05311224489795918,0,0.6249999999999994,1,47.885999999999996,237160000.0,False,False,False,True,False,True,False,False
23,No Brainer (Diary of a Wimpy Kid #18) (Volume 18),Jeff Kinney,4.7,13081,2.03,8 years and up,224.0,2023-10-24,Reading & Writing,9.478992518521158,2023.0,10.0,2023-10-24,2023.0,10.0,4.0,888.0,0,13081.0,13081.0,1,,4.7,49575.33,47458.0,18,0.0090625,0,0.75,1,9.540999999999999,648494891.73,False,False,True,False,True,False,False,False
24,I Love You to the Moon and Back,Amelia Hepworth,4.9,80263,3.97,baby and up,28.0,2015-03-03,Reading & Writing,11.293076480605448,2015.0,3.0,2015-03-03,2015.0,3.0,1.0,4045.0,0,80263.0,80263.0,1,,4.9,49575.33,47458.0,18,0.1417857142857143,0,1.0,1,19.453000000000003,3979064711.79,True,False,False,False,True,False,False,False
25,Dog Man: Twenty Thousand Fleas Under the Sea: A Graphic Novel (Dog Man #11): From the Creator of Captain Underpants,Dav Pilkey,4.8,11089,5.48,7 years and up,240.0,2023-03-28,Comics & Graphic Novels,9.313799080344413,2023.0,3.0,2023-03-28,2023.0,3.0,1.0,1098.0,0,11089.0,11089.0,1,,4.8,69411.5,69411.5,2,0.022833333333333334,0,0.8749999999999994,1,26.304000000000002,769704123.5,False,False,True,False,True,False,False,False
