id,book name,author,rating,reviews count,form,price,reading age,print length,publishing date,genre,log_reviews,year,month
36,If He Had Been with Me,Laura Nowlin,4.2,60754,Paperback,6.88,,400.0,2019-11-01,Fiction & Action & Adventure,11.014604662342713,2019.0,11.0
37,Goodnight Moon,"Margaret Wise Brown, Clement Hurd",4.9,31124,Board book,1.89,baby and up,34.0,1991-08-02,Arts & Music & Photography,10.345766633767008,1991.0,8.0
38,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.4,129310,Hardcover,13.28,,416.0,2022-07-05,Fiction & Action & Adventure,11.769975634613951,2022.0,7.0
39,"World of Eric Carle, Around the Farm 30",PI Kids,4.8,26464,Hardcover,11.99,1 - 2 years,24.0,2013-01-31,Reading & Writing,10.183578384292089,2013.0,1.0
40,The Wonderful Things You Will Be,Emily Winfield Martin,4.9,32274,Hardcover,9.45,3 years and up,36.0,2015-08-25,Reading & Writing,10.382048215714843,2015.0,8.0
41,Fourth Wing (Special Edition),Rebecca Yarros,4.6,5028,Hardcover,26.91,,528.0,2023-11-07,Fiction & Action & Adventure,8.522976436171964,2023.0,11.0
42,The Silent Patient,Alex Michaelides,4.4,398561,Paperback,2.39,,368.0,2021-05-04,Mystery & Thriller & Suspense,12.895618348548451,2021.0,5.0
43,Remarkably Bright Creatures: A Read with Jenna Pick,Shelby Van Pelt,4.6,129211,Board book,14.53,,368.0,2022-05-03,Mystery & Thriller & Suspense,11.769209745274594,2022.0,5.0
44,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,4.7,68563,Paperback,14.18,,256.0,2020-09-08,Business & Money,11.135522894626948,2020.0,9.0
45,The Shadow Work Journal,Keila Shaheen,4.7,6331,Paperback,23.66,,138.0,2021-11-02,Health & Fitness & Dieting,8.753371421000903,2021.0,11.0
46,Oath and Honor: A Memoir and a Warning,Liz Cheney,4.8,17084,Hardcover,14.78,,384.0,2023-12-05,Biographies & Memoirs,9.745956164549392,2023.0,12.0
47,Where's Bluey?: A Search-and-Find Book,Penguin Young Readers Licenses,4.8,9137,Paperback,2.7,2 years and up,32.0,2022-01-25,Arts & Music & Photography,9.120196822123217,2022.0,1.0
48,Twisted Love,Ana Huang,4.2,142671,Paperback,9.99,,352.0,2022-09-27,Fiction & Action & Adventure,11.86830356837466,2022.0,9.0
49,Icebreaker,Hannah Grace,4.3,113454,Paperback,9.4,,448.0,2023-02-07,Fiction & Action & Adventure,11.63916156151537,2023.0,2.0
