Model,RMSE,MAE,R²,CV RMSE,Training Time (s)
Decision Tree,23392.33358602771,12067.9,0.9388536597637069,80653.81387277976,0.04
Lasso Regression,31370.361368491096,21443.17252171973,0.8900329905781248,482118.802068051,0.05
Ridge Regression,31550.65137664578,21669.589667673405,0.8887653657584458,2998883.638623949,0.04
Random Forest,33299.38428310296,12958.235499999999,0.8760930182763333,75486.4835260016,1.41
Linear Regression,33522.26605046551,23228.32845465272,0.8744287815119328,85034824.89017065,0.04
Gradient Boosting,52920.91499410765,19978.629087010013,0.6870477629700605,74498.39834470711,0.66
XGBoost,57410.08691858949,23959.203125,0.6317015886306763,78781.69728560055,1.05
